iter	Passed	Remaining
0	200	100163
1	261	65160
2	316	52481
3	368	45718
4	420	41623
5	471	38845
6	484	34136
7	547	33685
8	600	32737
9	651	31912
10	704	31296
11	738	30035
12	792	29675
13	851	29562
14	908	29374
15	962	29128
16	975	27705
17	1026	27475
18	1077	27267
19	1130	27138
20	1182	26977
21	1234	26819
22	1289	26735
23	1341	26596
24	1392	26456
25	1444	26336
26	1498	26246
27	1550	26129
28	1602	26031
29	1657	25962
30	1712	25904
31	1745	25527
32	1797	25435
33	1850	25368
34	1917	25471
35	1970	25394
36	2020	25288
37	2072	25195
38	2124	25117
39	2175	25016
40	2226	24923
41	2288	24954
42	2344	24912
43	2393	24807
44	2442	24700
45	2494	24621
46	2536	24451
47	2586	24353
48	2650	24395
49	2702	24324
50	2777	24449
51	2828	24366
52	2881	24303
53	2935	24242
54	2993	24223
55	3047	24160
56	3099	24087
57	3150	24009
58	3201	23929
59	3251	23847
60	3307	23806
61	3376	23854
62	3431	23800
63	3484	23734
64	3530	23628
65	3574	23507
66	3620	23395
67	3665	23287
68	3710	23178
69	3754	23065
70	3801	22971
71	3846	22862
72	3898	22801
73	3953	22757
74	3996	22646
75	4050	22597
76	4108	22569
77	4154	22478
78	4216	22471
79	4261	22370
80	4310	22295
